,Unnamed: 0,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
2494,2494,2574,明牌珠宝,0.564,5.35,5.34,5.41,5.19,5.32,3754202.0,0.7110200000000001,19989829.0,31.471,0.892,282480.0,282480.0
2527,2527,2541,鸿路钢构,0.0,7.25,7.27,7.28,6.98,7.25,2297498.0,0.61887,16442488.0,12.083,0.62,379696.168425,269148.394625
2530,2530,2538,司尔特,0.868,4.65,4.65,4.71,4.5,4.61,12395018.0,1.77425,57430044.0,15.5,0.991,333925.931595,324851.00321999996
2533,2533,2535,林州重机,0.5489999999999999,3.66,3.64,3.7,3.58,3.64,4185400.0,0.7802100000000001,15286230.0,91.5,0.996,293416.005084,196338.77301
2542,2542,2526,山东矿机,2.258,3.17,3.13,3.17,3.02,3.1,5515009.0,0.62087,17134768.0,23.728,0.8420000000000001,332438.615469,281581.950112
2546,2546,2521,齐峰新材,0.466,6.47,6.4,6.48,6.31,6.44,2965067.0,0.68945,18990393.0,20.219,0.9309999999999999,320061.724893,278249.41524
2554,2554,2513,蓝丰生化,2.469,6.64,6.46,6.75,6.37,6.48,1506500.0,0.59216,9903451.0,66.4,0.882,225817.288592,168926.42728
2566,2566,2501,利源精制,1.207,5.87,5.78,5.96,5.69,5.8,7256143.0,0.7252400000000001,42470752.0,13.341,0.88,713108.48546,587299.727483
2606,2606,2461,珠江啤酒,-1.014,4.88,4.93,5.0,4.7,4.93,8682987.0,0.6383,42116338.0,27.111,0.6779999999999999,1080104.29824,663837.885568
2613,2613,2454,松芝股份,0.0,5.38,5.37,5.44,5.25,5.38,2635921.0,0.4273900000000001,14177931.0,6.184,0.718,340123.3848,331807.209988
2632,2632,2435,长江润发,-0.366,8.17,8.27,8.38,8.03,8.2,2290555.0,0.7333500000000001,18645861.0,12.015,0.742,681639.890167,255182.611706
2642,2642,2425,凯撒文化,1.339,4.54,4.49,4.64,4.4,4.48,7833901.0,0.9739,35533874.0,14.645,0.996,369439.972128,365189.26229
2669,2669,2398,建研集团,-0.396,5.03,5.07,5.11,4.92,5.05,4364331.0,0.8334900000000001,21924183.0,8.982000000000001,0.748,348179.29608,263381.990744
2680,2680,2387,维信诺,-0.856,10.43,10.47,10.67,10.1,10.52,3825587.0,1.16341,39867683.0,318.96,0.92,1426472.556978,342965.720342
2692,2692,2375,亚厦股份,0.198,5.05,5.05,5.12,4.91,5.04,9085819.0,0.7255100000000001,45694365.0,18.704,0.895,676698.2314899999,632433.28368
2713,2713,2354,天神娱乐,2.32,8.82,8.62,8.95,8.45,8.62,13208189.0,2.38161,115666071.0,7.511,0.885,826298.9658,489148.23006000003
2723,2723,2344,海宁皮城,2.57,4.79,4.69,4.83,4.68,4.67,5174406.0,0.40710999999999997,24660834.0,20.826,0.8250000000000001,614434.877034,608820.063463
2846,2846,2220,天宝食品,4.37,4.06,3.89,4.07,3.82,3.89,6930698.0,1.2710700000000001,27419117.0,16.917,0.804,311190.942118,221378.23148000002
2902,2902,2164,宁波东力,1.104,4.58,4.4,4.73,4.31,4.53,25919379.0,6.3333900000000005,116929011.0,15.793,0.925,320301.055156,187436.3626
2906,2906,2160,常铝股份,0.998,4.05,4.03,4.1,3.93,4.01,3005697.0,0.49925,12114554.0,17.19,0.893,293329.32610500004,243828.238365
2942,2942,2124,天邦股份,-2.5,3.9,3.98,4.0,3.74,4.0,9090888.0,1.14999,35177273.0,11.470999999999998,0.985,452254.95822,308302.20486
2944,2944,2122,*ST天马,-4.118,1.63,1.67,1.7,1.62,1.7,33302837.0,2.8121400000000003,54788294.0,14.818,0.415,193644.0,193032.85595
2957,2957,2109,兴化股份,1.105,3.66,3.63,3.69,3.56,3.62,2990802.0,0.54878,10874970.0,12.445,0.755,385377.792774,199465.766844
2965,2965,2101,广东鸿图,-0.39299999999999996,7.6,7.67,7.77,7.51,7.63,3214570.0,0.7552700000000001,24573828.0,8.261000000000001,0.613,404378.41816,323470.42404
2979,2979,2087,新野纺织,-5.109,3.9,4.1,4.1,3.86,4.11,22641087.0,2.77585,90157600.0,10.902999999999999,0.965,318549.79065,318101.23566
2986,2986,2080,中材科技,3.218,8.34,8.21,8.5,7.89,8.08,9259068.0,1.4467299999999998,76048040.0,8.77,0.746,1076580.822864,533760.0
2989,2989,2077,大港股份,-10.046,5.91,6.26,6.5,5.91,6.57,17458567.0,3.28344,105135458.0,98.5,0.892,342985.971183,314244.11285700003
3018,3018,2048,宁波华翔,2.845,11.93,11.75,12.11,11.56,11.6,3937082.0,0.8548600000000001,46728743.0,7.901,0.957,747089.1856020001,549437.146155
3024,3024,2042,华孚时尚,-0.904,6.58,6.55,6.71,6.32,6.64,9473445.0,0.6241899999999999,61851288.0,9.536,0.942,999749.1151899999,998656.50619
3048,3048,2018,*ST华信,-0.725,1.37,1.39,1.39,1.33,1.38,12437812.0,0.5460400000000001,17058509.0,6.85,0.914,312062.356814,312062.356814
3061,3061,2005,德豪润达,-1.911,3.08,3.15,3.18,2.95,3.14,18784327.0,1.48329,58094422.0,-4.622,0.8859999999999999,543533.76,390051.2
3068,3068,1896,豫能控股,1.159,3.49,3.45,3.53,3.4,3.45,4006164.0,0.431,13911996.0,74.255,0.653,401555.15860300005,324399.643677
3084,3084,980,众泰汽车,0.28800000000000003,6.96,6.94,7.04,6.77,6.94,5091942.0,0.4694100000000001,35296405.0,9.747,0.8370000000000001,1418261.666184,754995.343104
3092,3092,971,高升控股,5.263,4.6,4.37,4.81,4.32,4.37,33672411.0,5.6950199999999995,154911182.0,14.839,0.635,469952.25456000003,271980.12578
3097,3097,966,长源电力,0.735,2.74,2.72,2.76,2.7,2.72,2154500.0,0.1944,5883661.0,-24.976999999999997,0.9209999999999999,303669.83791999996,303669.83791999996
3098,3098,965,天保基建,0.0,4.17,4.18,4.24,4.06,4.17,5806449.0,0.5231800000000001,24215109.0,10.171,0.785,462799.48321499996,462799.48321499996
3103,3103,959,首钢股份,0.7809999999999999,3.87,3.84,3.93,3.81,3.84,16766357.0,0.56518,64835176.0,9.261000000000001,0.754,2046993.7752,1148045.584059
3115,3115,937,冀中能源,0.252,3.98,3.97,4.03,3.92,3.97,14060351.0,0.4837400000000001,55832317.0,13.214,0.7120000000000001,1406351.6463,1156826.737116
3125,3125,926,福星股份,-0.435,6.87,6.9,6.94,6.74,6.9,6866276.0,0.7240200000000001,47091876.0,7.718999999999999,0.639,667435.939638,651515.3693489999
3133,3133,917,电广传媒,0.9259999999999999,5.45,5.44,5.52,5.27,5.4,9388142.0,0.72521,51039508.0,-16.515,0.778,772568.20421,705521.1428149999
3143,3143,903,云内动力,2.033,2.51,2.46,2.51,2.43,2.46,6106800.0,0.35081999999999997,15157672.0,16.846,0.889,494671.01510699996,436918.64673999994
3146,3146,900,现代投资,0.75,4.03,4.0,4.07,3.97,4.0,5013633.0,0.33055999999999996,20187725.0,7.07,0.6970000000000001,611684.818602,611236.196584
3147,3147,899,赣能股份,0.0,4.02,3.99,4.07,3.98,4.02,953300.0,0.14742000000000002,3832876.0,237.87,0.873,392222.45952,259962.95041199998
3148,3148,898,鞍钢股份,0.96,5.26,5.21,5.32,5.14,5.21,17139544.0,0.27874000000000004,89849084.0,6.787000000000001,0.738,3805508.927522,3234369.84986
3160,3160,882,华联股份,0.0,2.53,2.53,2.55,2.46,2.53,6713134.0,0.27046000000000003,16895955.0,341.892,0.892,692550.042591,627985.249914
3164,3164,877,天山股份,2.978,6.57,6.38,6.66,6.32,6.38,13687035.0,1.55518,89028206.0,21.826999999999998,0.942,689010.9840630001,578222.348643
3166,3166,875,吉电股份,0.36200000000000004,2.77,2.76,2.79,2.71,2.76,7546639.0,0.3861500000000001,20785771.0,-17.313,0.797,594528.9724600001,541343.663912
3169,3169,863,三湘印象,0.0,4.55,4.57,4.62,4.41,4.55,3686100.0,0.4013000000000001,16653653.0,23.947,0.996,628697.43027,417939.066545
3170,3170,862,银星能源,1.3330000000000002,3.04,3.0,3.05,2.96,3.0,3324199.0,0.66305,10018176.0,-11.386,0.8260000000000001,214660.17508800002,152411.27855999998
3177,3177,851,高鸿股份,1.919,4.78,4.74,4.85,4.66,4.69,10210123.0,1.23369,48660619.0,16.660999999999998,0.9690000000000001,433847.07642600004,395597.828082
3178,3178,850,华茂股份,0.28,3.58,3.57,3.61,3.49,3.57,4323084.0,0.4582500000000001,15428325.0,32.545,0.79,337832.073222,337730.931062
3198,3198,816,*ST慧业,2.7030000000000003,1.52,1.51,1.54,1.48,1.48,21729388.0,1.6261100000000002,32974746.0,-8.0,0.711,215658.10433600002,203114.175744
3204,3204,809,铁岭新城,-0.368,2.71,2.74,2.75,2.6,2.72,6143935.0,0.7449100000000001,16555215.0,22.583000000000002,0.713,223518.44040300002,223518.44040300002
3218,3218,791,甘肃电投,-2.98,5.21,5.24,5.69,5.0,5.37,38969817.0,4.013,205068871.0,20.552,0.9129999999999999,505956.7502,505937.86395
3226,3226,780,平庄能源,-1.42,3.47,3.53,3.54,3.38,3.52,3578100.0,0.35276,12433085.0,7.229,0.762,351964.294428,351964.294428
3228,3228,778,新兴铸管,1.247,4.06,4.09,4.12,4.01,4.01,26506691.0,0.6760100000000001,107892456.0,14.61,0.8160000000000001,1620297.351456,1591943.365432
3235,3235,761,本钢板材,1.2690000000000001,3.99,3.95,4.05,3.91,3.94,7891400.0,0.28843,31388045.0,7.824,0.8300000000000001,1546273.241268,1091664.0
3255,3255,728,国元证券,1.56,7.16,7.06,7.3,7.01,7.05,15489534.0,0.52576,110629662.0,17.9,0.951,2409660.0856520003,2109443.4
3256,3256,727,华东科技,0.541,1.86,1.84,1.87,1.82,1.85,14346840.0,0.48954,26545623.0,715.385,0.799,842499.45828,545101.8220020001
3260,3260,722,湖南发展,1.203,5.89,5.86,5.94,5.67,5.82,3306201.0,0.7123,19241195.0,31.0,0.975,273389.228098,273389.228098
3263,3263,719,中原传媒,-0.447,6.68,6.75,6.75,6.51,6.71,1497950.0,0.22453,9934240.0,9.824,0.941,683500.104332,445654.558724
3266,3266,716,黑芝麻,0.0,3.41,3.43,3.46,3.33,3.41,4010442.0,0.68169,13677989.0,19.486,0.9309999999999999,240627.527052,200614.258328
3272,3272,709,河钢股份,-0.7120000000000001,2.79,2.8,2.82,2.73,2.81,47063840.0,0.44328999999999996,131041606.0,16.412,0.6409999999999999,2962591.590708,2962114.4658330004
3273,3273,708,大冶特钢,0.0,8.33,8.42,8.44,8.12,8.33,3747648.0,0.83391,31062166.0,9.477,0.909,374357.26384,374357.26384
3278,3278,701,厦门信达,1.955,6.78,6.65,6.88,6.55,6.65,2971068.0,0.78622,19984701.0,-80.42699999999999,0.8690000000000001,275683.651968,256212.37065599998
3280,3280,698,沈阳化工,-0.723,4.12,4.1,4.18,4.02,4.15,4277385.0,0.9893299999999999,17602963.0,15.259,0.7609999999999999,337639.93074,178129.356896
3289,3289,686,东北证券,1.297,6.25,6.18,6.38,6.13,6.17,12189829.0,0.52083,76421988.0,22.320999999999998,0.938,1462783.071875,1462783.071875
3290,3290,685,中山公用,0.7759999999999999,7.79,7.71,7.86,7.58,7.73,2955266.0,0.23581,22912595.0,10.819,0.948,1149111.742429,976266.098332
3303,3303,669,金鸿控股,0.0,0.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,14.703,0.8370000000000001,493296.377825,485703.9712
